Date Time,Open,High,Low,Close,Volume
2009/11/6,4147.832,4175.5,4130.69,4145.137,100
2009/11/9,4148.431,4176.433,4120.391,4176.188,100
2009/11/10,4193.656,4211.148,4176.131,4182.77,100
2009/11/11,4172.664,4209.253,4149.287,4199.549,100
2009/11/12,4203.618,4251.611,4197.697,4213.245,100
2009/11/13,4200.666,4267.008,4166.142,4267.008,100
2009/11/16,4295.723,4366.852,4295.723,4364.973,100
2009/11/17,4381.99,4400.394,4341.778,4387.552,100
2009/11/18,4386.132,4413.624,4363.882,4406.779,100
2009/11/19,4412.098,4476.138,4400.753,4476.138,100
2009/11/20,4462.577,4541.274,4443.135,4508.293,100
2009/11/23,4516.278,4592.007,4513.561,4591.339,100
2009/11/24,4607.034,4611.888,4328.436,4347.657,100
2009/11/25,4333.701,4512.677,4317.849,4512.08,100
2009/11/26,4519.132,4541.945,4304.153,4328.408,100
2009/11/27,4262.567,4355.231,4187.585,4215.338,100
2009/11/30,4251.955,4405.693,4251.955,4405.328,100
2009/12/1,4405.731,4525.649,4386.826,4525.288,100
2009/12/2,4547.98,4605.878,4534.45,4591.384,100
2009/12/3,4582.261,4625.636,4555.473,4621.941,100
2009/12/4,4614.683,4651.148,4403.136,4506.082,100
2009/12/7,4508.626,4581.578,4503.494,4581.242,100
2009/12/8,4584.16,4598.095,4520.924,4571.764,100
2009/12/9,4524.624,4566.237,4474.096,4498.152,100
2009/12/10,4517.704,4553.819,4485.821,4536.557,100
2009/12/11,4546.61,4576.217,4517.528,4534.763,100
2009/12/14,4533.364,4533.797,4417.726,4513.594,100
2009/12/15,4507.158,4545.354,4492.24,4523.493,100
2009/12/16,4509.822,4543.097,4491.02,4506.039,100
2009/12/17,4506.367,4518.944,4362.838,4364.926,100
2009/12/18,4318.065,4318.987,4194.965,4203.48,100
2009/12/21,4195.117,4257.017,4185.109,4256.389,100
2009/12/22,4260.744,4263.337,4124.08,4136.822,100
2009/12/23,4132.155,4210.665,4129.892,4210.173,100
2009/12/24,4213.821,4350.525,4209.975,4345.296,100
2009/12/25,4342.35,4398.458,4324.855,4376.193,100
2009/12/28,4388.778,4447.757,4388.274,4447.205,100
2009/12/29,4451.928,4465.461,4393.902,4463.604,100
2009/12/30,4459.723,4470.308,4408.384,4446.067,100
2009/12/31,4444.248,4487.451,4432.289,4485.255,100
2010/1/4,4508.93,4542.71,4487.365,4510.527,100
2010/1/5,4513.403,4558.21,4480.188,4557.475,100
2010/1/6,4553.369,4595.102,4538.719,4550.279,100
